tau,fxs
0.5,1.8765942519620524
0.6,1.9137193483133748
0.7,1.9412535912281457
0.8,1.9635489876523453
0.9,1.9813202210507275
1.0,1.989177474286937
1.1,1.9934032347943744
1.2,1.9950758363725678
1.3,1.995780722500685
1.4,1.995968939232113
1.5,1.9959525939253553
1.6,1.995822759746445
1.7,1.9948241326543785
1.8,1.9903631841334573
1.9,1.9818098375717477
2.0,1.9646638255795905
2.1,1.946616077620885
2.2,1.9319219868366648
2.3,1.9143080418433
2.4,1.8937160574810825
2.5,1.8746407490247001
2.6,1.8357703516722106
2.7,1.813653982979867
2.8,1.7835757594903843
2.9,1.7628339032794988
3.0,1.7290678784999014
