lp,n,pk,pm,t,fmax,favg
4410,70,0.9,0.0001,140,1.9389670824704368,1.937472398040724
5411,80,0.9,0.0005,140,1.93751222226568,1.9308980000246811
5296,80,0.8,0.0005,90,1.93813373100649,1.9280279189365896
5407,80,0.9,0.0005,100,1.9343587727082767,1.9277519874939903
5336,80,0.85,0.0001,50,1.9438581247686617,1.9267082139895093
5354,80,0.85,0.0005,120,1.9324114512128137,1.9257286918424048
5348,80,0.85,0.0005,60,1.941493723769352,1.9257146024352825
5365,80,0.85,0.001,120,1.9412271486667307,1.9255503107411585
5297,80,0.8,0.0005,100,1.9333333674438675,1.925540092881431
4857,75,0.85,0.0005,100,1.9315300595901013,1.925395572370837
